date,site,category,title,url,publish_time,content
20260626,electrive_battery,电池,"CATL targets up to 20,000 vehicles with sodium-ion batteries",https://www.electrive.com/2026/06/26/catl-targets-up-to-20000-vehicles-with-sodium-ion-batteries/,2026-06-26 10:30:00,
20260626,electrive_battery,电池,PowerCo selects OCSiAl nanotubes for battery additives,https://www.electrive.com/2026/06/26/powerco-selects-ocsial-nanotubes-for-battery-additives/,2026-06-26 08:30:00,
20260626,ess_news,储能,"Neoen secures 20-year contract for 200 MW/1,600 MWh battery project in Canada",https://www.ess-news.com/2026/06/26/neoen-secures-20-year-contract-for-200-mw-1600-mwh-battery-project-in-canada/,2026-06-26 15:00:00,
20260626,ess_news,储能,How storage is reshaping Italy’s energy system,https://www.ess-news.com/2026/06/26/how-storage-is-reshaping-italys-energy-system/,2026-06-26 14:30:00,
20260626,ess_news,储能,Italy authorizes 300 MW of battery storage projects,https://www.ess-news.com/2026/06/26/italy-authorizes-300-mw-of-battery-storage-projects/,2026-06-26 07:30:00,
20260626,ess_news,储能,Engie begins construction of 140.8 MW solar-plus-storage project in Peru,https://www.ess-news.com/2026/06/26/engie-begins-construction-of-140-8-mw-solar-plus-storage-project-in-peru/,2026-06-26 06:45:00,
20260626,h2_view,氢,- gasworld,https://news.google.com/rss/articles/CBMi2gFBVV95cUxQeEdkczluV0dKLVNxYk92bjVZd3VvcWFfVURTak1OdDhCeDdFZ211Sl9NdUxfM0Y0RnV6QUdJbE1yYzREY2I4dVNuLUl1b3dNR0EwQlhDR24yRVU5RVRFQ1lUd3czU2dhcnlQM2xILU81Uy1DU0xzTVZDWFRwbmlibTF4QUY4OVRJQllaYTZOYVNjRDNZeDY1dWljY29WWnhuQWpvM2lHQ3E3N0poWk1kMkJVR2lYUUw2aVBVcWZYODJYT2xtdktRZFB3dFlDSkpDcVdwZ09abllBQQ?oc=5,2026-06-26 00:55:19,
20260626,h2_view,氢,- gasworld,https://news.google.com/rss/articles/CBMi-wFBVV95cUxPaWc0Y19PUlNmUTA1QTBoSlRLZHlkdDRMMzlqR3c4TEotYkZ0X0F5V1oyaFpTTkxlNnpwcDhGMEh6UFEzNEJYSVBBSWltcl80Y1FvV1dxRGpNbl8wekwzdEo5MzN3Z2xLdjFrNGZrTWdUYVhDLUZ2Q2ZTMS0zWGZ5dkVyVHVmYlk5QlcyS0I5N2JqMW1NeU9EdlZWMEp4dF9KX29YWFVVVGZsakVuaUJTNGFuMDl3OW53MW5SdVpaakZDWUVCSGUtWVVKN0pfd2pFUWVpdTlGOXN1STAxdm1ZRGR6RDY5TzVVTG9Ua2VkWVRUc1hWdmRpa29hOA?oc=5,2026-06-26 15:51:25,
20260626,h2_view,氢,- gasworld,https://news.google.com/rss/articles/CBMiggJBVV95cUxQV1gxMkpIREhvdklpZ1hrUi1semVnXzVSQTZnS3JzVHdRV3I0aV9KWFZPWDdxLUpvOWVXaVM3NktpSUltQUNxU1R5TW5EUVhNSFBqRS0tTmZlRV94MF9KUDV5UlgyWm44MEU3aTJPU01jUGVlc2tjYTVJMW9YZXJUVkY1ZG5obG9yeURLV21UTnB6VXlzWk1oUjh3eHpTcnJFaHoyNEMtUkJ6M2FEVk4tZERadloxYmdUWEUzSFJnbmo4YUhHbW1iVmtMYjNUS2YyNkRWY1BvWEdDbGZJUU1PNGZUSW5rdUFRUUQ2cmNZdTEyTkRDckNVdXFrMTJPcWlLQ2c?oc=5,2026-06-26 12:54:21,
20260626,h2_view,氢,- gasworld,https://news.google.com/rss/articles/CBMi5AFBVV95cUxPaHFiaklkTHBYaTFpWWdDVzNnbmJ2MTFpMXhPQnRQbXBwSFpIVFlvb1VvaHowYzFfWHlvUnhNYUo3QTcxdS10Z3RUY2tXdlpPTlhndzk2T1Q3dFdNU1NCcmdjQjU4cjVOVkZHZWkyUVJJbWlGa0dGVmhwazBzUGF5cmtlWWdJTGxGWlo1S19kdk5rVndWbkdmMllKUWluSUdEUVEwa0VzejJJSENjQ1dXdGlQUHhFNEFqa3dBOWlKLXNRdTZWc0ZfN0s0NURicXB3enIwNWZ0TkM3RmRRMGF6OUNsdm4?oc=5,2026-06-26 17:00:31,
